link,rank,section,run_time,pub_time,publication,author,headline,article_headline,link_status,resolved_link,web_headline
https://apple.news/AtCapPy59QF2Jz8wgfQ_5Cg,1,top,2026-03-11 17:50:13,,Fox News,,Texas GOP senator reverses on filibuster stance to pass SAVE Act as Trump weighs endorsement,Texas GOP senator reverses on filibuster stance to pass SAVE Act as Trump weighs endorsement,V,https://www.foxnews.com/politics/cornyn-reverses-filibuster-stance-push-trumps-save-act-senate,Texas GOP senator abandons prior filibuster stance on Trump's voter ID bill | Fox News
https://apple.news/AhrbSP5RIRhilqrigBeB0cg,2,top,2026-03-11 17:50:13,2026-03-11 17:20:14,The Wall Street Journal,,Veterans Affairs to pursue legal guardianship of homeless vets,Veterans Affairs to pursue legal guardianship of homeless vets,V,https://www.wsj.com/politics/policy/trump-doj-veterans-homeless-legal-guardianship-b8e9db75,Veterans Affairs to Advocate for Legal Guardianship for Some Vets - WSJ
,3,top,2026-03-11 17:50:13,2026-03-11 17:20:41,NPR,,DOJ quietly begins restoring gun rights to some people with felony convictions,DOJ quietly begins restoring gun rights to some people with felony convictions,M,,
https://apple.news/A95ovU9jWSb2bcutx-5BWEw,4,top,2026-03-11 17:50:13,2026-03-11 17:21:08,The Associated Press,,Lords a-leaving: Britain is ejecting hereditary nobles from Parliament after 700 years,Lords a-leaving: Britain is ejecting hereditary nobles from Parliament after 700 years,V,https://apnews.com/article/uk-house-of-lords-hereditary-peers-expelled-535df8781dd01e8970acda1dca99d3d4,The UK is ejecting hereditary nobles from Parliament after 700 years | AP News
,5,top,2026-03-11 17:50:13,2026-03-11 17:20:41,NPR,,DOJ quietly begins restoring gun rights to some people with felony convictions,DOJ quietly begins restoring gun rights to some people with felony convictions,M,,
https://apple.news/A7t8CoFSFRs2s4lUmkhihFA,plus,top,2026-03-11 17:50:13,2026-03-11 17:20:08,National Geographic,,"GLP-1s don’t just quell addiction cravings. They stop them from forming, studies show.",,V,https://www.nationalgeographic.com/health/article/glp-1-addiction-research,GLP-1s don’t just quell addiction cravings. They stop them from forming in the first place. | National Geographic
https://apple.news/A6PXpW7ZnTfKFLlI3EXSWhg,plus,top,2026-03-11 17:50:13,2026-03-11 17:01:35,Los Angeles Times,,"Kanye West ordered to pay former contractor $140,000 over Malibu mansion lawsuit",,V,https://www.latimes.com/entertainment-arts/business/story/2026-03-11/kanye-west-ordered-to-pay-former-contractor-140-000-for-mansion-work,"Kanye West ordered to pay former contractor $140,000 for mansion work - Los Angeles Times"
,plus,top,2026-03-11 17:50:13,,Los Angeles Times,,"400 million barrels of oil to be released from strategic reserves as Iran targets commercial ships, Apple News Plus",,M,,
,plus,top,2026-03-11 17:50:13,,California DACA recipient sues Trump administration over her deportation,,Apple News Plus,,M,,
https://apple.news/T53EkVgARRIiK5g17be6ZGw,1,reader_favorites,2026-03-11 17:50:13,,BBC Wildlife Magazine,,A massive oceanic creature has been caught on film in the South China Sea,,V,,Travel + Leisure
https://apple.news/TLZKrjVHNQX6EU84bXaUU4w,2,reader_favorites,2026-03-11 17:50:13,,BBC Science Focus Magazine,,Exercise isn’t the key to burning fat. Here’s what is.,,V,,The Wall Street Journal
https://apple.news/A95d1yPhOQLuQ6nxQQ91udA,3,reader_favorites,2026-03-11 17:50:13,,Vogue,,"She drank 2.5 liters of water a day. Here’s how it changed her skin and body., Daisy Jones",,V,https://www.vogue.com/article/i-drank-25-liters-of-water-a-day-for-a-week,I Drank 2.5 Liters Of Water A Day For A Week—Here’s How My Skin & Body Changed | Vogue
https://apple.news/ALgvc_yLaTO62aV4BfTI88g,1,trending,2026-03-11 17:50:13,2026-03-11 06:55:23,Fox News,,"Cancer doctor says Americans should eat more of 5 key protective foods, 11 hours ago, Andrea Margolis",Cancer doctor says Americans should eat more of 5 key protective foods,V,https://www.foxnews.com/food-drink/cancer-doctor-says-americans-should-eat-more-5-key-protective-foods,Cancer prevention diet includes 5 key foods recommended by New Jersey oncologist | Fox News
https://apple.news/AoZgqNlGfRX6vNhMezlac6g,2,trending,2026-03-11 17:50:13,2026-03-11 10:55:57,ABC News,,"Teen charged in teacher’s death from prank gone wrong speaks out, 7 hours ago, Faith Abubey and GMA Team",Teen charged in teacher’s death from prank gone wrong speaks out,V,https://abcnews.com/GMA/News/teen-charged-teachers-death-prank-wrong-speaks/story?id=130962159,Teen charged in teacher’s death from prank gone wrong speaks out - ABC News
,3,trending,2026-03-11 17:50:13,,,,"The Slate Truck Is an EV for the Rest of Us, Apple News Plus",,M,,
https://apple.news/AkCaB6GHpSwS0F9eBxJNtAg,4,trending,2026-03-11 17:50:13,2026-03-11 09:56:38,USA TODAY,,"Toyota recalls over 550K cars. See affected models., 8 hours ago",Toyota recalls over 550K cars. See affected models.,V,https://www.usatoday.com/story/cars/recalls/2026/03/11/toyota-recalls-vehicles-highlander-hybrid/89096665007/,"Toyota recall includes Toyota Highlander, Highlander Hybrid models"
https://apple.news/Amt_guG2EQ7GJ6gR9obXYyA,1,top,2026-03-11 18:00:13,2026-03-11 17:20:14,The Guardian,,"Iran escalates attacks on infrastructure and transport networks across the Gulf, MORE DETAILS",Iran escalates attacks on infrastructure and transport networks across the Gulf,V,https://www.theguardian.com/world/2026/mar/11/iran-escalates-attacks-on-infrastructure-and-transport-networks-across-the-gulf?CMP=oth_b-aplnews_d-1,Iran escalates attacks on infrastructure and transport networks across the Gulf | US-Israel war on Iran | The Guardian
https://apple.news/AtCapPy59QF2Jz8wgfQ_5Cg,2,top,2026-03-11 18:00:13,,Fox News,,Texas GOP senator reverses on filibuster stance to pass SAVE Act as Trump weighs endorsement,Texas GOP senator reverses on filibuster stance to pass SAVE Act as Trump weighs endorsement,V,https://www.foxnews.com/politics/cornyn-reverses-filibuster-stance-push-trumps-save-act-senate,Texas GOP senator abandons prior filibuster stance on Trump's voter ID bill | Fox News
https://apple.news/TDeEFCni8Qf2zde3hjCsw-Q,plus,top,2026-03-11 18:00:13,2026-03-11 17:21:14,The Wall Street Journal,,Veterans Affairs to pursue legal guardianship of homeless vets,,V,,The Times And The Sunday Times
https://apple.news/TDeEFCni8Qf2zde3hjCsw-Q,plus,top,2026-03-11 18:00:13,2026-03-11 17:20:29,The Wall Street Journal,,Veterans Affairs to pursue legal guardianship of homeless vets,Veterans Affairs to pursue legal guardianship of homeless vets,V,,The Times And The Sunday Times
,3,top,2026-03-11 18:00:13,2026-03-11 17:19:43,NPR,,DOJ quietly begins restoring gun rights to some people with felony convictions,DOJ quietly begins restoring gun rights to some people with felony convictions,M,,
https://apple.news/A95ovU9jWSb2bcutx-5BWEw,4,top,2026-03-11 18:00:13,2026-03-11 17:20:10,The Associated Press,,Lords a-leaving: Britain is ejecting hereditary nobles from Parliament after 700 years,Lords a-leaving: Britain is ejecting hereditary nobles from Parliament after 700 years,V,https://apnews.com/article/uk-house-of-lords-hereditary-peers-expelled-535df8781dd01e8970acda1dca99d3d4,The UK is ejecting hereditary nobles from Parliament after 700 years | AP News
,5,top,2026-03-11 18:00:13,2026-03-11 17:19:42,NPR,,DOJ quietly begins restoring gun rights to some people with felony convictions,DOJ quietly begins restoring gun rights to some people with felony convictions,M,,
https://apple.news/A7t8CoFSFRs2s4lUmkhihFA,plus,top,2026-03-11 18:00:13,2026-03-11 17:20:10,National Geographic,,"GLP-1s don’t just quell addiction cravings. They stop them from forming, studies show.",,V,https://www.nationalgeographic.com/health/article/glp-1-addiction-research,GLP-1s don’t just quell addiction cravings. They stop them from forming in the first place. | National Geographic
https://apple.news/TpSq6-TTXRq2-MJYZrB50zg,plus,top,2026-03-11 18:00:13,2026-03-11 06:03:43,People,,Chelsea Handler Hard Launches Her 'Hot' New Relationship and Reveals the Unique Way They Met,,V,,The New Yorker
,plus,top,2026-03-11 18:00:13,2026-03-11 17:41:01,The Hollywood Reporter,,Putting the ‘Cars’ in Oscars,,M,,
